Frequency (Hz)	Level (dB)
46.875000	-24.651356
93.750000	-32.615906
140.625000	-42.635365
187.500000	-47.508377
234.375000	-50.641235
281.250000	-52.208363
328.125000	-50.170052
375.000000	-50.422848
421.875000	-54.201359
468.750000	-54.724693
515.625000	-54.832024
562.500000	-54.999096
609.375000	-55.070885
656.250000	-54.776466
703.125000	-53.515251
750.000000	-53.855183
796.875000	-54.288574
843.750000	-54.626015
890.625000	-55.151493
937.500000	-55.432056
984.375000	-55.635197
1031.250000	-56.705193
1078.125000	-57.728306
1125.000000	-58.068123
1171.875000	-58.425270
1218.750000	-58.881054
1265.625000	-59.694614
1312.500000	-60.130779
1359.375000	-60.229961
1406.250000	-61.055386
1453.125000	-61.253551
1500.000000	-62.441555
1546.875000	-63.367680
1593.750000	-63.695911
1640.625000	-63.887344
1687.500000	-64.418358
1734.375000	-64.552277
1781.250000	-64.773193
1828.125000	-65.326843
1875.000000	-66.117302
1921.875000	-66.254524
1968.750000	-66.617897
2015.625000	-66.916008
2062.500000	-67.459854
2109.375000	-67.812057
2156.250000	-67.637192
2203.125000	-67.619133
2250.000000	-67.770401
2296.875000	-68.136650
2343.750000	-67.912064
2390.625000	-68.405952
2437.500000	-68.494331
2484.375000	-68.311630
2531.250000	-68.375069
2578.125000	-68.357384
2625.000000	-68.479820
2671.875000	-68.758171
2718.750000	-68.829521
2765.625000	-68.840157
2812.500000	-69.202698
2859.375000	-69.264397
2906.250000	-69.239616
2953.125000	-68.991180
3000.000000	-68.986214
3046.875000	-69.002129
3093.750000	-69.311188
3140.625000	-69.424446
3187.500000	-69.217308
3234.375000	-69.461197
3281.250000	-69.726692
3328.125000	-69.912445
3375.000000	-69.446259
3421.875000	-69.409966
3468.750000	-69.041046
3515.625000	-69.241371
3562.500000	-69.566528
3609.375000	-69.943344
3656.250000	-70.087349
3703.125000	-70.261429
3750.000000	-70.474472
3796.875000	-70.168648
3843.750000	-70.169846
3890.625000	-70.092918
3937.500000	-69.692383
3984.375000	-69.887245
4031.250000	-70.386414
4078.125000	-71.161011
4125.000000	-71.133064
4171.875000	-70.959747
4218.750000	-70.792709
4265.625000	-71.045990
4312.500000	-71.149094
4359.375000	-71.165123
4406.250000	-71.268684
4453.125000	-71.225693
4500.000000	-71.329308
4546.875000	-71.529762
4593.750000	-71.420517
4640.625000	-71.354713
4687.500000	-71.597122
4734.375000	-71.578728
4781.250000	-71.886078
4828.125000	-72.412605
4875.000000	-72.073677
4921.875000	-72.078072
4968.750000	-72.057487
5015.625000	-72.413452
5062.500000	-72.519852
5109.375000	-72.856834
5156.250000	-72.852760
5203.125000	-72.892471
5250.000000	-72.813782
5296.875000	-73.072289
5343.750000	-73.034546
5390.625000	-73.359818
5437.500000	-73.522110
5484.375000	-73.537308
5531.250000	-73.852028
5578.125000	-73.586128
5625.000000	-73.783264
5671.875000	-73.558105
5718.750000	-73.777420
5765.625000	-74.316933
5812.500000	-74.133018
5859.375000	-73.787621
5906.250000	-73.784950
5953.125000	-74.153633
6000.000000	-74.902168
6046.875000	-74.736443
6093.750000	-74.744263
6140.625000	-74.738274
6187.500000	-74.401237
6234.375000	-74.931030
6281.250000	-75.248993
6328.125000	-75.367325
6375.000000	-75.618904
6421.875000	-75.892723
6468.750000	-75.755112
6515.625000	-75.881531
6562.500000	-75.812439
6609.375000	-75.811073
6656.250000	-76.340324
6703.125000	-76.817879
6750.000000	-76.722015
6796.875000	-76.950676
6843.750000	-76.735146
6890.625000	-77.000992
6937.500000	-77.354370
6984.375000	-76.944901
7031.250000	-77.090065
7078.125000	-77.277725
7125.000000	-78.013336
7171.875000	-77.984795
7218.750000	-78.086136
7265.625000	-78.363396
7312.500000	-78.192909
7359.375000	-78.168137
7406.250000	-78.430237
7453.125000	-78.513397
7500.000000	-78.731926
7546.875000	-78.454689
7593.750000	-78.455780
7640.625000	-78.749580
7687.500000	-78.889099
7734.375000	-79.235588
7781.250000	-78.953545
7828.125000	-78.921318
7875.000000	-79.254066
7921.875000	-79.223244
7968.750000	-79.517120
8015.625000	-79.276375
8062.500000	-79.277336
8109.375000	-79.547165
8156.250000	-79.832565
8203.125000	-80.002296
8250.000000	-80.265045
8296.875000	-80.368317
8343.750000	-80.336479
8390.625000	-80.305008
8437.500000	-80.038887
8484.375000	-79.945641
8531.250000	-79.884102
8578.125000	-80.603065
8625.000000	-80.639626
8671.875000	-80.741966
8718.750000	-80.523277
8765.625000	-80.701683
8812.500000	-80.746269
8859.375000	-80.648262
8906.250000	-80.857285
8953.125000	-81.525238
9000.000000	-81.524818
9046.875000	-81.288277
9093.750000	-81.304832
9140.625000	-81.258064
9187.500000	-81.143723
9234.375000	-81.605789
9281.250000	-81.941864
9328.125000	-82.307465
9375.000000	-82.480911
9421.875000	-82.204628
9468.750000	-82.010910
9515.625000	-81.680214
9562.500000	-81.960770
9609.375000	-82.623596
9656.250000	-82.417320
9703.125000	-82.736557
9750.000000	-82.620667
9796.875000	-82.545166
9843.750000	-82.905449
9890.625000	-82.690361
9937.500000	-82.592339
9984.375000	-82.833717
10031.250000	-82.922676
10078.125000	-82.902336
10125.000000	-83.288277
10171.875000	-83.759926
10218.750000	-83.506439
10265.625000	-83.763130
10312.500000	-83.495605
10359.375000	-83.822395
10406.250000	-83.932159
10453.125000	-84.164169
10500.000000	-84.491066
10546.875000	-84.368935
10593.750000	-84.392914
10640.625000	-84.300987
10687.500000	-84.626610
10734.375000	-84.640327
10781.250000	-85.016632
10828.125000	-84.905022
10875.000000	-85.229584
10921.875000	-85.525375
10968.750000	-85.419098
11015.625000	-85.635582
11062.500000	-85.939018
11109.375000	-85.644135
11156.250000	-85.926849
11203.125000	-86.502525
11250.000000	-86.744843
11296.875000	-86.281403
11343.750000	-86.054489
11390.625000	-86.398911
11437.500000	-86.796288
11484.375000	-87.271385
11531.250000	-87.378281
11578.125000	-87.524879
11625.000000	-87.687057
11671.875000	-87.772659
11718.750000	-87.704498
11765.625000	-87.468079
11812.500000	-87.578682
11859.375000	-87.652657
11906.250000	-87.889519
11953.125000	-88.300301
12000.000000	-88.522041
12046.875000	-88.412392
12093.750000	-88.470825
12140.625000	-88.537933
12187.500000	-89.022614
12234.375000	-88.604660
12281.250000	-88.798203
12328.125000	-88.866516
