Frequency (Hz)	Level (dB)
46.875000	-33.696022
93.750000	-41.767422
140.625000	-48.460892
187.500000	-49.882786
234.375000	-49.853592
281.250000	-49.820053
328.125000	-50.436691
375.000000	-50.895123
421.875000	-51.366112
468.750000	-51.649235
515.625000	-52.157856
562.500000	-52.254082
609.375000	-52.306362
656.250000	-52.198765
703.125000	-52.280270
750.000000	-52.384281
796.875000	-52.012966
843.750000	-52.181583
890.625000	-52.268513
937.500000	-52.519650
984.375000	-52.825024
1031.250000	-53.293301
1078.125000	-54.011543
1125.000000	-54.490799
1171.875000	-55.133789
1218.750000	-55.744205
1265.625000	-55.822628
1312.500000	-56.340004
1359.375000	-56.351822
1406.250000	-56.781593
1453.125000	-57.082760
1500.000000	-57.269188
1546.875000	-57.612301
1593.750000	-58.029030
1640.625000	-58.262253
1687.500000	-58.499031
1734.375000	-58.396366
1781.250000	-59.025352
1828.125000	-58.961395
1875.000000	-58.901443
1921.875000	-59.118908
1968.750000	-59.379017
2015.625000	-59.294209
2062.500000	-59.716728
2109.375000	-60.010727
2156.250000	-59.838467
2203.125000	-60.095562
2250.000000	-59.622593
2296.875000	-59.683666
2343.750000	-59.957897
2390.625000	-60.003490
2437.500000	-59.999233
2484.375000	-59.981678
2531.250000	-59.979385
2578.125000	-59.804802
2625.000000	-59.654140
2671.875000	-59.429668
2718.750000	-59.445087
2765.625000	-59.849792
2812.500000	-59.883102
2859.375000	-59.654503
2906.250000	-59.754002
2953.125000	-60.065582
3000.000000	-60.061192
3046.875000	-59.916264
3093.750000	-60.005970
3140.625000	-60.137615
3187.500000	-60.081116
3234.375000	-60.031631
3281.250000	-60.725906
3328.125000	-60.516781
3375.000000	-59.746132
3421.875000	-59.999386
3468.750000	-60.425999
3515.625000	-60.347958
3562.500000	-60.214130
3609.375000	-60.272842
3656.250000	-60.397064
3703.125000	-60.477657
3750.000000	-60.372768
3796.875000	-60.866566
3843.750000	-60.694828
3890.625000	-60.423279
3937.500000	-60.508766
3984.375000	-60.916031
4031.250000	-61.011406
4078.125000	-61.059536
4125.000000	-60.929722
4171.875000	-61.296940
4218.750000	-61.092636
4265.625000	-61.007584
4312.500000	-61.097599
4359.375000	-61.208706
4406.250000	-61.419586
4453.125000	-61.178619
4500.000000	-61.548134
4546.875000	-61.983231
4593.750000	-61.778770
4640.625000	-61.296196
4687.500000	-61.256077
4734.375000	-61.627441
4781.250000	-61.869034
4828.125000	-61.791233
4875.000000	-61.970577
4921.875000	-62.127441
4968.750000	-62.122322
5015.625000	-62.189323
5062.500000	-62.358452
5109.375000	-62.503170
5156.250000	-62.395309
5203.125000	-62.141582
5250.000000	-62.678272
5296.875000	-62.731197
5343.750000	-62.489552
5390.625000	-62.852642
5437.500000	-62.654778
5484.375000	-62.781868
5531.250000	-62.992294
5578.125000	-62.624271
5625.000000	-62.727833
5671.875000	-62.840965
5718.750000	-63.256145
5765.625000	-63.651302
5812.500000	-63.674034
5859.375000	-63.848431
5906.250000	-64.006371
5953.125000	-63.905552
6000.000000	-64.012390
6046.875000	-63.975513
6093.750000	-63.643082
6140.625000	-64.246765
6187.500000	-64.639565
6234.375000	-64.815392
6281.250000	-64.673187
6328.125000	-64.653419
6375.000000	-64.385788
6421.875000	-64.461517
6468.750000	-65.054611
6515.625000	-65.506516
6562.500000	-65.869537
6609.375000	-65.605309
6656.250000	-65.718735
6703.125000	-65.978096
6750.000000	-65.693031
6796.875000	-65.872665
6843.750000	-66.436440
6890.625000	-66.415710
6937.500000	-66.431229
6984.375000	-66.569626
7031.250000	-66.673653
7078.125000	-66.666412
7125.000000	-66.825882
7171.875000	-67.045715
7218.750000	-67.282143
7265.625000	-67.463966
7312.500000	-67.534889
7359.375000	-67.460487
7406.250000	-67.616539
7453.125000	-67.854073
7500.000000	-68.015305
7546.875000	-68.296410
7593.750000	-68.222816
7640.625000	-68.329262
7687.500000	-68.555008
7734.375000	-68.386131
7781.250000	-68.289726
7828.125000	-68.441223
7875.000000	-69.005196
7921.875000	-68.693993
7968.750000	-68.594627
8015.625000	-68.785858
8062.500000	-68.983658
8109.375000	-68.956123
8156.250000	-69.130096
8203.125000	-69.178734
8250.000000	-68.989891
8296.875000	-69.341614
8343.750000	-69.321045
8390.625000	-69.467438
8437.500000	-69.717705
8484.375000	-69.536469
8531.250000	-69.598694
8578.125000	-69.901680
8625.000000	-70.268204
8671.875000	-70.128769
8718.750000	-70.420113
8765.625000	-70.330109
8812.500000	-70.279869
8859.375000	-70.704269
8906.250000	-70.758675
8953.125000	-70.316086
9000.000000	-70.023285
9046.875000	-70.456055
9093.750000	-70.559959
9140.625000	-71.090263
9187.500000	-71.073227
9234.375000	-71.152405
9281.250000	-71.131340
9328.125000	-71.428566
9375.000000	-71.744453
9421.875000	-71.863251
9468.750000	-71.639915
9515.625000	-71.609566
9562.500000	-71.695541
9609.375000	-71.735695
9656.250000	-71.750969
9703.125000	-71.972633
9750.000000	-71.465164
9796.875000	-71.540344
9843.750000	-71.670807
9890.625000	-71.970123
9937.500000	-71.783073
9984.375000	-71.845474
10031.250000	-71.912415
10078.125000	-72.218781
10125.000000	-72.111366
10171.875000	-71.967224
10218.750000	-72.055618
10265.625000	-72.409714
10312.500000	-72.421890
10359.375000	-72.223526
10406.250000	-72.398705
10453.125000	-72.417526
10500.000000	-72.983879
10546.875000	-73.031639
10593.750000	-72.832634
10640.625000	-72.712357
10687.500000	-72.819000
10734.375000	-73.192795
10781.250000	-73.470734
10828.125000	-73.462418
10875.000000	-73.886368
10921.875000	-74.386833
10968.750000	-73.880394
11015.625000	-73.879044
11062.500000	-74.596756
11109.375000	-74.889900
11156.250000	-74.975853
11203.125000	-75.329514
11250.000000	-75.578880
11296.875000	-74.929749
11343.750000	-75.038322
11390.625000	-75.672379
11437.500000	-76.291267
11484.375000	-76.651711
11531.250000	-76.531128
