Frequency (Hz)	Level (dB)
46.875000	-15.421185
93.750000	-23.287052
140.625000	-33.243504
187.500000	-40.147888
234.375000	-44.570305
281.250000	-46.090336
328.125000	-46.848022
375.000000	-48.252453
421.875000	-49.693966
468.750000	-50.055115
515.625000	-50.116898
562.500000	-50.349453
609.375000	-49.930531
656.250000	-49.832317
703.125000	-50.342384
750.000000	-50.803886
796.875000	-50.749317
843.750000	-50.669239
890.625000	-50.736904
937.500000	-51.170029
984.375000	-51.506378
1031.250000	-51.565376
1078.125000	-51.779716
1125.000000	-52.354130
1171.875000	-52.645782
1218.750000	-53.387554
1265.625000	-53.468227
1312.500000	-53.551079
1359.375000	-54.436310
1406.250000	-54.583008
1453.125000	-55.228699
1500.000000	-55.392086
1546.875000	-55.023537
1593.750000	-55.481365
1640.625000	-55.828842
1687.500000	-56.000198
1734.375000	-56.066196
1781.250000	-56.284698
1828.125000	-56.305565
1875.000000	-55.948627
1921.875000	-55.838764
1968.750000	-56.375488
2015.625000	-57.140358
2062.500000	-57.399136
2109.375000	-57.315948
2156.250000	-57.230835
2203.125000	-57.193615
2250.000000	-57.813301
2296.875000	-57.607964
2343.750000	-57.200428
2390.625000	-57.233257
2437.500000	-57.101742
2484.375000	-56.771763
2531.250000	-56.851837
2578.125000	-56.404076
2625.000000	-56.283863
2671.875000	-56.605297
2718.750000	-56.425949
2765.625000	-56.798664
2812.500000	-56.902409
2859.375000	-56.867561
2906.250000	-56.694424
2953.125000	-56.910755
3000.000000	-57.582729
3046.875000	-57.217308
3093.750000	-56.830242
3140.625000	-56.949436
3187.500000	-57.229099
3234.375000	-57.079350
3281.250000	-57.522980
3328.125000	-57.500298
3375.000000	-56.807213
3421.875000	-56.483711
3468.750000	-56.825012
3515.625000	-57.304516
3562.500000	-56.918552
3609.375000	-57.093513
3656.250000	-57.726608
3703.125000	-57.115417
3750.000000	-57.052410
3796.875000	-57.229828
3843.750000	-57.030666
3890.625000	-57.441185
3937.500000	-57.674347
3984.375000	-57.843937
4031.250000	-58.014580
4078.125000	-58.085766
4125.000000	-57.979538
4171.875000	-58.116428
4218.750000	-57.635635
4265.625000	-58.084637
4312.500000	-58.098450
4359.375000	-58.142811
4406.250000	-58.321255
