Frequency (Hz)	Level (dB)
46.875000	-23.972569
93.750000	-31.106966
140.625000	-39.701153
187.500000	-47.497063
234.375000	-53.459049
281.250000	-56.741829
328.125000	-58.872177
375.000000	-59.860416
421.875000	-59.797455
468.750000	-59.403217
515.625000	-60.111156
562.500000	-61.549873
609.375000	-62.158855
656.250000	-62.498096
703.125000	-62.382137
750.000000	-61.957806
796.875000	-61.990704
843.750000	-62.389404
890.625000	-62.692162
937.500000	-62.818062
984.375000	-63.441822
1031.250000	-64.121269
1078.125000	-64.481964
1125.000000	-63.919308
1171.875000	-63.798100
1218.750000	-65.287643
1265.625000	-66.136238
1312.500000	-66.774803
1359.375000	-67.030487
1406.250000	-66.993889
1453.125000	-67.202545
1500.000000	-67.865074
1546.875000	-67.895004
1593.750000	-67.964546
1640.625000	-68.335350
1687.500000	-68.892876
1734.375000	-69.226921
1781.250000	-69.575111
1828.125000	-69.476891
1875.000000	-69.051315
1921.875000	-69.375946
1968.750000	-69.678734
2015.625000	-69.994781
2062.500000	-70.558578
2109.375000	-70.602730
2156.250000	-70.616898
2203.125000	-70.823402
2250.000000	-71.093491
2296.875000	-71.100838
2343.750000	-70.695259
2390.625000	-70.322708
2437.500000	-70.078346
2484.375000	-70.309509
2531.250000	-70.446587
2578.125000	-70.729156
2625.000000	-70.563416
2671.875000	-70.320213
2718.750000	-70.264725
2765.625000	-70.336105
2812.500000	-70.185730
2859.375000	-70.025429
2906.250000	-70.239197
2953.125000	-70.527237
3000.000000	-70.752533
3046.875000	-70.596886
3093.750000	-70.553009
3140.625000	-70.474403
3187.500000	-70.723122
3234.375000	-71.002457
3281.250000	-70.377945
3328.125000	-70.534973
3375.000000	-71.096909
3421.875000	-71.111534
3468.750000	-70.933426
3515.625000	-70.960884
3562.500000	-71.008553
3609.375000	-71.150871
3656.250000	-70.868919
3703.125000	-70.981041
3750.000000	-71.023422
3796.875000	-70.775269
3843.750000	-70.740021
3890.625000	-70.484779
3937.500000	-70.582481
3984.375000	-71.287704
4031.250000	-71.197182
4078.125000	-70.880669
4125.000000	-70.924828
4171.875000	-71.036232
4218.750000	-71.159782
4265.625000	-70.998650
4312.500000	-70.852257
4359.375000	-70.588867
4406.250000	-70.642204
4453.125000	-70.555710
4500.000000	-70.626709
4546.875000	-70.794334
4593.750000	-70.731247
4640.625000	-70.887848
4687.500000	-71.239944
4734.375000	-71.066643
4781.250000	-70.771385
4828.125000	-71.034798
4875.000000	-71.177216
4921.875000	-71.289261
4968.750000	-71.172775
5015.625000	-71.223183
5062.500000	-71.040527
5109.375000	-71.255325
5156.250000	-71.383347
5203.125000	-70.964661
5250.000000	-71.156075
5296.875000	-70.996445
5343.750000	-70.834137
5390.625000	-71.018150
5437.500000	-70.949875
5484.375000	-71.204254
5531.250000	-71.784935
5578.125000	-71.426872
5625.000000	-71.039604
5671.875000	-71.279343
5718.750000	-71.624336
5765.625000	-71.786919
5812.500000	-71.465935
5859.375000	-71.384804
5906.250000	-71.693695
5953.125000	-71.810143
6000.000000	-72.119461
6046.875000	-72.686569
6093.750000	-72.239487
6140.625000	-72.307259
6187.500000	-72.420578
6234.375000	-72.407158
6281.250000	-72.445343
6328.125000	-72.474915
6375.000000	-73.015312
6421.875000	-73.154846
6468.750000	-73.159126
6515.625000	-72.991341
6562.500000	-72.982773
6609.375000	-72.830215
6656.250000	-73.245247
6703.125000	-73.534325
6750.000000	-73.357498
6796.875000	-73.826111
6843.750000	-74.100204
6890.625000	-74.213829
6937.500000	-74.497116
6984.375000	-74.519760
7031.250000	-74.285828
7078.125000	-74.131958
7125.000000	-73.810188
7171.875000	-74.162682
7218.750000	-74.774796
7265.625000	-74.764320
7312.500000	-74.713829
7359.375000	-74.922379
7406.250000	-75.123550
7453.125000	-75.270737
7500.000000	-74.910690
7546.875000	-74.994141
7593.750000	-75.145935
7640.625000	-75.201584
7687.500000	-75.381157
7734.375000	-75.097176
7781.250000	-75.848763
7828.125000	-76.062157
7875.000000	-76.116890
7921.875000	-75.790108
7968.750000	-75.503090
8015.625000	-75.521278
8062.500000	-75.904396
8109.375000	-75.341927
8156.250000	-75.156189
8203.125000	-75.697510
8250.000000	-76.178192
8296.875000	-76.299858
8343.750000	-76.433578
8390.625000	-76.567497
8437.500000	-76.586624
8484.375000	-76.191078
8531.250000	-76.210083
8578.125000	-76.424660
8625.000000	-76.569756
8671.875000	-76.703438
8718.750000	-76.518219
8765.625000	-76.218826
8812.500000	-76.370399
8859.375000	-76.515602
8906.250000	-76.467972
8953.125000	-75.895073
9000.000000	-76.370438
9046.875000	-76.778358
9093.750000	-76.278183
9140.625000	-76.889984
9187.500000	-77.029488
9234.375000	-77.179176
9281.250000	-77.070343
9328.125000	-77.195969
9375.000000	-77.652534
9421.875000	-77.524879
9468.750000	-77.283051
9515.625000	-77.658096
9562.500000	-77.496346
9609.375000	-77.333382
9656.250000	-77.383690
9703.125000	-77.400635
9750.000000	-77.519577
9796.875000	-77.416145
9843.750000	-77.644402
9890.625000	-77.820778
9937.500000	-77.669044
9984.375000	-77.436455
10031.250000	-77.613297
10078.125000	-77.834923
10125.000000	-77.595932
10171.875000	-78.058228
10218.750000	-78.561386
10265.625000	-78.428429
10312.500000	-77.689957
10359.375000	-78.257027
10406.250000	-78.819344
10453.125000	-79.464226
10500.000000	-79.795280
10546.875000	-79.848831
10593.750000	-79.321510
10640.625000	-79.122322
10687.500000	-79.200577
10734.375000	-79.722008
10781.250000	-80.095261
10828.125000	-80.190170
10875.000000	-80.640137
10921.875000	-80.943962
10968.750000	-80.837250
11015.625000	-80.865845
11062.500000	-80.459587
11109.375000	-80.610115
11156.250000	-80.442184
11203.125000	-80.842728
11250.000000	-81.208717
11296.875000	-81.272102
11343.750000	-81.364799
11390.625000	-81.335815
11437.500000	-81.433807
11484.375000	-81.867088
11531.250000	-81.783447
11578.125000	-82.359818
11625.000000	-82.864670
11671.875000	-82.970039
11718.750000	-82.756187
11765.625000	-82.866913
11812.500000	-82.316803
11859.375000	-82.830612
11906.250000	-83.203857
11953.125000	-83.392342
12000.000000	-83.140472
12046.875000	-83.355827
12093.750000	-83.906792
12140.625000	-84.046494
12187.500000	-83.713303
12234.375000	-84.199051
12281.250000	-83.939835
12328.125000	-84.113152
12375.000000	-84.388092
12421.875000	-84.583771
12468.750000	-84.789101
12515.625000	-85.177383
12562.500000	-85.484795
12609.375000	-85.590393
12656.250000	-85.735733
12703.125000	-85.563255
12750.000000	-85.593369
12796.875000	-85.811630
12843.750000	-86.425179
12890.625000	-86.453476
12937.500000	-86.411606
12984.375000	-86.082069
13031.250000	-86.420860
13078.125000	-86.944405
13125.000000	-86.980270
13171.875000	-86.753052
13218.750000	-86.804710
13265.625000	-86.987007
13312.500000	-87.182854
13359.375000	-87.306038
13406.250000	-87.269501
13453.125000	-87.756554
13500.000000	-87.755501
13546.875000	-87.857521
13593.750000	-88.047897
13640.625000	-88.150146
13687.500000	-87.812180
13734.375000	-88.007202
13781.250000	-88.244438
13828.125000	-87.711212
13875.000000	-87.907066
13921.875000	-88.567291
13968.750000	-89.000404
14015.625000	-88.936897
14062.500000	-89.066689
14109.375000	-89.219658
14156.250000	-89.077339
14203.125000	-89.327469
14250.000000	-89.715881
14296.875000	-90.028717
14343.750000	-89.526794
14390.625000	-89.424667
14437.500000	-90.354073
14484.375000	-90.450684
14531.250000	-90.563316
14578.125000	-90.457619
14625.000000	-90.410049
14671.875000	-90.693398
14718.750000	-90.161858
14765.625000	-90.944221
14812.500000	-91.398926
14859.375000	-91.126038
14906.250000	-90.982422
14953.125000	-91.202446
15000.000000	-91.690559
15046.875000	-91.772789
15093.750000	-91.719116
15140.625000	-92.179863
15187.500000	-92.189690
15234.375000	-91.333961
15281.250000	-91.899544
15328.125000	-92.464226
15375.000000	-92.645706
15421.875000	-92.321236
15468.750000	-92.452065
15515.625000	-92.668640
15562.500000	-93.032265
15609.375000	-93.215233
15656.250000	-93.375557
15703.125000	-93.724121
15750.000000	-93.461975
15796.875000	-93.481468
15843.750000	-93.956406
15890.625000	-94.296417
15937.500000	-94.347107
15984.375000	-94.741859
16031.250000	-95.864082
