Frequency (Hz)	Level (dB)
46.875000	-20.641851
93.750000	-25.957401
140.625000	-32.962563
187.500000	-37.237808
234.375000	-38.406128
281.250000	-41.549999
328.125000	-44.201897
375.000000	-46.302765
421.875000	-48.883152
468.750000	-51.186737
515.625000	-52.689186
562.500000	-53.083164
609.375000	-53.456882
656.250000	-54.123486
703.125000	-56.254887
750.000000	-58.035564
796.875000	-58.765163
843.750000	-59.729027
890.625000	-62.336327
937.500000	-63.100376
984.375000	-63.699883
1031.250000	-63.654076
1078.125000	-64.223488
1125.000000	-65.941422
1171.875000	-67.471725
1218.750000	-67.715813
1265.625000	-68.437874
1312.500000	-68.929588
1359.375000	-69.242554
1406.250000	-69.745880
1453.125000	-70.449615
1500.000000	-70.587654
1546.875000	-71.193398
1593.750000	-71.810074
1640.625000	-72.270905
1687.500000	-72.331612
1734.375000	-72.788757
1781.250000	-72.726570
1828.125000	-72.254066
1875.000000	-72.803711
1921.875000	-73.619598
1968.750000	-74.383759
2015.625000	-74.224930
2062.500000	-74.232346
2109.375000	-74.619164
2156.250000	-75.375328
2203.125000	-75.600189
2250.000000	-75.375519
2296.875000	-75.389168
2343.750000	-75.476326
2390.625000	-75.809067
2437.500000	-75.514313
2484.375000	-75.263145
2531.250000	-75.496597
2578.125000	-75.719315
2625.000000	-75.706749
2671.875000	-76.192574
2718.750000	-76.334259
2765.625000	-76.567581
2812.500000	-76.481255
2859.375000	-76.986404
2906.250000	-76.704002
2953.125000	-76.514824
3000.000000	-76.974831
3046.875000	-77.023956
3093.750000	-76.725822
3140.625000	-76.823967
3187.500000	-77.122475
3234.375000	-77.009842
3281.250000	-77.058075
3328.125000	-77.604774
3375.000000	-77.318817
3421.875000	-77.612999
3468.750000	-77.695801
3515.625000	-77.571136
3562.500000	-77.814209
3609.375000	-77.516182
3656.250000	-78.398293
3703.125000	-78.310257
3750.000000	-78.037819
3796.875000	-77.932281
3843.750000	-78.100739
3890.625000	-77.922966
3937.500000	-77.879097
3984.375000	-78.105087
4031.250000	-78.299149
4078.125000	-78.812347
4125.000000	-78.957130
4171.875000	-78.637497
4218.750000	-78.745941
4265.625000	-78.578171
4312.500000	-78.600449
4359.375000	-78.548111
4406.250000	-78.383781
4453.125000	-78.479141
4500.000000	-78.796890
4546.875000	-79.194145
4593.750000	-79.430367
4640.625000	-79.183342
4687.500000	-79.591537
4734.375000	-79.283615
4781.250000	-79.329391
4828.125000	-79.788666
4875.000000	-79.393867
4921.875000	-79.030525
4968.750000	-79.416725
5015.625000	-79.598038
5062.500000	-79.779770
5109.375000	-79.975273
5156.250000	-79.937325
5203.125000	-79.492226
5250.000000	-79.692963
5296.875000	-79.931946
5343.750000	-79.518951
5390.625000	-79.897743
5437.500000	-80.493698
5484.375000	-80.228119
5531.250000	-80.083626
5578.125000	-80.168007
5625.000000	-80.454460
5671.875000	-80.380440
5718.750000	-80.612137
5765.625000	-80.756020
5812.500000	-81.189583
5859.375000	-81.060585
5906.250000	-80.809784
5953.125000	-81.511612
6000.000000	-81.494720
6046.875000	-81.498520
6093.750000	-81.537689
6140.625000	-81.550743
6187.500000	-81.497490
6234.375000	-81.672905
6281.250000	-81.928848
6328.125000	-81.787491
6375.000000	-81.609497
6421.875000	-81.999504
6468.750000	-81.966629
6515.625000	-82.302277
6562.500000	-82.170914
6609.375000	-82.091042
6656.250000	-82.359482
6703.125000	-82.600449
6750.000000	-82.408783
6796.875000	-82.799232
6843.750000	-83.025131
6890.625000	-82.805573
6937.500000	-82.646324
6984.375000	-83.107475
7031.250000	-83.669304
7078.125000	-83.686035
7125.000000	-83.406769
7171.875000	-83.581825
7218.750000	-84.071686
7265.625000	-83.995506
7312.500000	-83.997253
7359.375000	-83.902802
7406.250000	-83.998871
7453.125000	-83.836891
7500.000000	-83.564331
7546.875000	-83.864532
7593.750000	-84.310989
7640.625000	-83.953453
7687.500000	-84.220161
7734.375000	-84.403755
7781.250000	-84.340660
7828.125000	-84.568977
7875.000000	-85.173714
