Frequency (Hz)	Level (dB)
46.875000	-43.528740
93.750000	-44.435802
140.625000	-43.592499
187.500000	-42.972980
234.375000	-45.577251
281.250000	-46.545013
328.125000	-45.951431
375.000000	-47.078220
421.875000	-48.134193
468.750000	-48.539223
515.625000	-48.775524
562.500000	-49.045666
609.375000	-49.184765
656.250000	-48.831860
703.125000	-49.044609
750.000000	-49.090893
796.875000	-49.254414
843.750000	-49.618183
890.625000	-49.987118
937.500000	-50.687988
984.375000	-50.667492
1031.250000	-51.076107
1078.125000	-51.734299
1125.000000	-52.026005
1171.875000	-51.917595
1218.750000	-51.888359
1265.625000	-52.562134
1312.500000	-53.450962
1359.375000	-53.522713
1406.250000	-53.543438
1453.125000	-53.728653
1500.000000	-54.063465
1546.875000	-54.215168
1593.750000	-54.348072
1640.625000	-54.461258
1687.500000	-54.705643
1734.375000	-54.365295
1781.250000	-54.616119
1828.125000	-54.977299
1875.000000	-55.169983
1921.875000	-55.380489
1968.750000	-55.071228
2015.625000	-55.034512
2062.500000	-55.172157
2109.375000	-55.784180
2156.250000	-56.234055
2203.125000	-55.942535
2250.000000	-55.712925
2296.875000	-55.601768
2343.750000	-55.458286
2390.625000	-55.565262
2437.500000	-55.435837
2484.375000	-55.378902
2531.250000	-55.652527
2578.125000	-55.835670
2625.000000	-55.394966
2671.875000	-55.487324
2718.750000	-55.487194
2765.625000	-55.543774
2812.500000	-55.764080
2859.375000	-55.776024
2906.250000	-55.634876
2953.125000	-55.621830
3000.000000	-55.653999
3046.875000	-55.778549
3093.750000	-55.474731
3140.625000	-55.462276
3187.500000	-55.163059
3234.375000	-55.048668
3281.250000	-55.285305
3328.125000	-55.477234
3375.000000	-55.793007
3421.875000	-55.932148
3468.750000	-55.895042
3515.625000	-55.718372
3562.500000	-55.788151
3609.375000	-55.951431
3656.250000	-55.938206
3703.125000	-55.845921
3750.000000	-56.324814
3796.875000	-56.042229
3843.750000	-56.274757
3890.625000	-56.508938
3937.500000	-56.129337
3984.375000	-56.544209
4031.250000	-56.555260
4078.125000	-56.648083
4125.000000	-56.802689
4171.875000	-57.367794
4218.750000	-57.147995
4265.625000	-56.944126
4312.500000	-56.846664
4359.375000	-56.753696
4406.250000	-57.075542
4453.125000	-57.564507
4500.000000	-57.293720
4546.875000	-57.224918
4593.750000	-57.137157
4640.625000	-57.147594
4687.500000	-57.496941
4734.375000	-57.753468
4781.250000	-57.912762
4828.125000	-57.991554
4875.000000	-57.881191
