Frequency (Hz)	Level (dB)
46.875000	-36.043091
93.750000	-43.538486
140.625000	-52.072758
187.500000	-55.225689
234.375000	-56.216648
281.250000	-59.578766
328.125000	-60.186729
375.000000	-61.667175
421.875000	-61.126934
468.750000	-60.876225
515.625000	-65.670319
562.500000	-62.413197
609.375000	-60.299282
656.250000	-59.895847
703.125000	-62.122356
750.000000	-64.263550
796.875000	-68.441605
843.750000	-68.137321
890.625000	-65.928268
937.500000	-67.344482
984.375000	-68.224365
1031.250000	-69.068756
1078.125000	-68.516197
1125.000000	-69.027611
1171.875000	-71.367096
1218.750000	-71.851715
1265.625000	-72.628494
1312.500000	-72.407227
1359.375000	-72.868774
1406.250000	-72.767456
1453.125000	-72.276581
1500.000000	-72.921822
1546.875000	-73.284988
1593.750000	-73.490089
1640.625000	-73.862709
1687.500000	-74.113274
1734.375000	-74.420265
1781.250000	-74.896507
1828.125000	-74.842171
1875.000000	-74.709641
1921.875000	-74.688316
1968.750000	-74.854858
2015.625000	-75.208229
2062.500000	-75.193443
2109.375000	-75.188057
2156.250000	-75.319717
2203.125000	-75.659279
2250.000000	-75.513985
2296.875000	-75.393265
2343.750000	-75.222847
2390.625000	-75.243004
2437.500000	-75.400101
2484.375000	-75.193314
2531.250000	-75.117867
2578.125000	-74.641151
2625.000000	-75.110527
2671.875000	-75.250282
2718.750000	-74.299667
2765.625000	-73.219505
2812.500000	-74.023247
2859.375000	-74.101028
2906.250000	-74.790741
2953.125000	-73.938400
3000.000000	-70.976776
3046.875000	-70.492462
3093.750000	-72.392029
3140.625000	-75.193359
3187.500000	-74.770493
3234.375000	-73.900459
3281.250000	-74.032639
3328.125000	-75.340858
3375.000000	-74.952034
3421.875000	-74.888283
3468.750000	-75.131729
3515.625000	-74.742897
3562.500000	-75.646339
3609.375000	-75.745155
3656.250000	-74.152649
3703.125000	-73.786743
3750.000000	-74.644966
3796.875000	-75.605873
3843.750000	-75.830833
3890.625000	-75.435280
3937.500000	-75.554367
3984.375000	-76.058357
4031.250000	-76.139809
4078.125000	-75.869926
4125.000000	-76.417465
4171.875000	-76.365799
