Frequency (Hz)	Level (dB)
46.875000	-41.060787
93.750000	-46.824921
140.625000	-53.017899
187.500000	-59.267338
234.375000	-64.098343
281.250000	-66.377975
328.125000	-68.390785
375.000000	-69.813065
421.875000	-70.699509
468.750000	-71.232300
515.625000	-72.016754
562.500000	-72.815918
609.375000	-72.743355
656.250000	-72.782394
703.125000	-72.855728
750.000000	-73.344376
796.875000	-73.471436
843.750000	-74.343925
890.625000	-74.162636
937.500000	-74.198853
984.375000	-75.072693
1031.250000	-75.612549
1078.125000	-75.827057
1125.000000	-76.001839
1171.875000	-76.415924
1218.750000	-76.547958
1265.625000	-77.039787
1312.500000	-77.525879
1359.375000	-77.589302
1406.250000	-77.666656
1453.125000	-77.902107
1500.000000	-78.214371
1546.875000	-78.948738
1593.750000	-79.035309
1640.625000	-79.216553
1687.500000	-79.193138
1734.375000	-79.679695
1781.250000	-79.834755
1828.125000	-79.980171
1875.000000	-80.094147
1921.875000	-80.074791
1968.750000	-80.157013
2015.625000	-80.346931
2062.500000	-80.564766
2109.375000	-80.064026
2156.250000	-80.307167
2203.125000	-80.566101
2250.000000	-80.981720
2296.875000	-81.351616
2343.750000	-81.299568
2390.625000	-80.829781
2437.500000	-80.504395
2484.375000	-80.616776
2531.250000	-80.866386
2578.125000	-80.841873
2625.000000	-80.822716
2671.875000	-81.114021
2718.750000	-80.940804
2765.625000	-80.723679
2812.500000	-80.582413
2859.375000	-80.900673
2906.250000	-81.182625
2953.125000	-81.498199
3000.000000	-80.777046
3046.875000	-80.190041
3093.750000	-80.311340
3140.625000	-80.241844
3187.500000	-80.618256
3234.375000	-81.109718
3281.250000	-81.429230
3328.125000	-81.170593
3375.000000	-80.949142
3421.875000	-80.806328
3468.750000	-81.154861
3515.625000	-81.268829
3562.500000	-80.698952
3609.375000	-80.826363
3656.250000	-81.051987
3703.125000	-81.198402
3750.000000	-81.326218
3796.875000	-81.439011
3843.750000	-81.476570
3890.625000	-81.361595
3937.500000	-81.557869
3984.375000	-81.544228
4031.250000	-81.270432
4078.125000	-81.655060
4125.000000	-81.461098
4171.875000	-81.931892
4218.750000	-82.118690
4265.625000	-81.570137
4312.500000	-81.214874
4359.375000	-81.660622
4406.250000	-82.212639
4453.125000	-82.274963
4500.000000	-82.112595
4546.875000	-81.940964
4593.750000	-81.974335
4640.625000	-82.143623
4687.500000	-81.898857
4734.375000	-81.907715
4781.250000	-82.002350
4828.125000	-82.265945
4875.000000	-82.380913
4921.875000	-82.586266
4968.750000	-82.957260
5015.625000	-82.571594
5062.500000	-82.914955
5109.375000	-83.140129
5156.250000	-83.028076
5203.125000	-82.809647
5250.000000	-83.179260
5296.875000	-83.391060
5343.750000	-83.306824
5390.625000	-83.492287
5437.500000	-83.879349
5484.375000	-83.610680
5531.250000	-83.619728
5578.125000	-83.906921
5625.000000	-83.861984
5671.875000	-84.017151
5718.750000	-84.113411
5765.625000	-84.370857
5812.500000	-84.379745
5859.375000	-84.712151
5906.250000	-84.690483
5953.125000	-84.496490
6000.000000	-84.428078
6046.875000	-84.742653
