Frequency (Hz)	Level (dB)
46.875000	-39.573990
93.750000	-47.687477
140.625000	-54.489189
187.500000	-57.673733
234.375000	-57.429504
281.250000	-56.093094
328.125000	-56.774231
375.000000	-57.704479
421.875000	-58.384853
468.750000	-59.365566
515.625000	-61.007706
562.500000	-61.584023
609.375000	-62.101501
656.250000	-62.582947
703.125000	-63.011349
750.000000	-63.029999
796.875000	-63.099922
843.750000	-63.424706
890.625000	-64.198059
937.500000	-64.228127
984.375000	-63.844059
1031.250000	-64.235237
1078.125000	-64.662140
1125.000000	-64.840096
1171.875000	-65.021484
1218.750000	-65.474335
1265.625000	-65.746300
1312.500000	-65.521309
1359.375000	-65.275848
1406.250000	-66.139305
1453.125000	-66.531685
1500.000000	-66.486916
1546.875000	-66.530243
1593.750000	-66.914078
1640.625000	-66.819313
1687.500000	-66.868401
1734.375000	-66.815895
1781.250000	-67.151360
1828.125000	-67.592522
1875.000000	-67.963867
1921.875000	-67.942589
1968.750000	-67.955971
2015.625000	-68.119583
2062.500000	-68.541702
2109.375000	-68.672867
2156.250000	-68.657127
2203.125000	-69.310173
2250.000000	-69.110382
2296.875000	-69.001450
2343.750000	-68.652626
2390.625000	-68.915695
2437.500000	-69.320847
2484.375000	-68.650261
2531.250000	-68.952126
2578.125000	-69.498444
2625.000000	-69.823311
2671.875000	-69.541557
2718.750000	-69.364662
2765.625000	-69.674011
2812.500000	-70.064674
2859.375000	-70.021233
2906.250000	-70.024422
2953.125000	-70.299828
3000.000000	-70.332596
3046.875000	-70.362816
3093.750000	-70.225906
3140.625000	-70.355125
3187.500000	-70.677910
3234.375000	-70.600060
3281.250000	-70.468575
3328.125000	-70.194626
3375.000000	-70.746414
3421.875000	-70.881264
3468.750000	-70.940102
3515.625000	-71.138847
3562.500000	-71.456955
3609.375000	-71.446762
3656.250000	-71.344391
3703.125000	-71.466042
3750.000000	-71.639450
3796.875000	-71.696526
3843.750000	-71.806252
3890.625000	-71.659187
3937.500000	-71.645370
3984.375000	-71.709938
4031.250000	-72.317337
4078.125000	-72.483391
4125.000000	-72.097404
4171.875000	-71.993423
4218.750000	-72.692924
4265.625000	-72.693748
4312.500000	-72.616951
4359.375000	-72.824585
4406.250000	-72.729958
4453.125000	-73.066254
4500.000000	-73.545425
4546.875000	-73.546783
4593.750000	-73.194450
4640.625000	-73.252831
4687.500000	-73.391647
4734.375000	-73.383110
4781.250000	-73.146187
4828.125000	-73.338821
4875.000000	-73.731392
4921.875000	-74.049736
4968.750000	-74.273109
5015.625000	-74.478737
5062.500000	-74.519608
5109.375000	-74.658180
5156.250000	-74.747635
5203.125000	-74.728973
5250.000000	-74.758461
5296.875000	-75.128922
5343.750000	-75.780678
5390.625000	-75.612267
5437.500000	-75.213142
5484.375000	-75.329964
5531.250000	-75.616196
5578.125000	-75.667213
5625.000000	-75.879616
5671.875000	-75.959579
5718.750000	-76.164406
5765.625000	-76.460342
5812.500000	-77.034821
5859.375000	-77.092468
5906.250000	-77.222633
5953.125000	-77.000687
6000.000000	-76.776230
6046.875000	-76.986893
6093.750000	-77.448395
6140.625000	-77.162117
6187.500000	-77.579468
6234.375000	-77.779846
6281.250000	-77.754951
6328.125000	-78.136627
6375.000000	-78.174896
6421.875000	-77.747795
6468.750000	-77.720818
6515.625000	-78.415047
6562.500000	-79.080368
6609.375000	-79.061035
6656.250000	-79.342049
6703.125000	-79.470329
6750.000000	-79.277901
6796.875000	-79.531822
6843.750000	-79.632011
6890.625000	-79.709366
6937.500000	-79.680580
6984.375000	-79.859795
7031.250000	-79.312859
7078.125000	-79.760040
7125.000000	-80.282051
7171.875000	-80.503670
7218.750000	-80.553757
7265.625000	-80.899223
7312.500000	-81.072762
7359.375000	-81.077209
7406.250000	-81.052414
7453.125000	-81.467377
7500.000000	-81.903038
7546.875000	-81.640739
7593.750000	-81.705978
7640.625000	-81.624191
7687.500000	-81.371017
7734.375000	-81.907944
7781.250000	-82.163651
7828.125000	-81.939949
7875.000000	-82.008049
7921.875000	-82.259956
7968.750000	-82.892479
8015.625000	-82.569939
8062.500000	-82.582008
8109.375000	-83.244087
8156.250000	-83.457382
8203.125000	-83.264137
8250.000000	-83.015541
8296.875000	-83.057556
8343.750000	-83.113373
8390.625000	-83.329140
8437.500000	-83.768387
8484.375000	-83.803596
8531.250000	-83.511681
8578.125000	-83.695946
8625.000000	-83.636520
8671.875000	-84.180138
8718.750000	-83.895798
8765.625000	-83.799248
8812.500000	-83.446793
8859.375000	-83.507301
8906.250000	-83.687096
8953.125000	-84.355003
9000.000000	-84.709137
9046.875000	-84.765457
9093.750000	-84.805893
9140.625000	-84.448921
9187.500000	-84.545509
9234.375000	-84.808128
9281.250000	-84.988083
9328.125000	-85.433792
9375.000000	-85.181862
9421.875000	-85.141296
9468.750000	-85.421303
9515.625000	-86.010529
9562.500000	-85.897530
9609.375000	-85.905067
9656.250000	-85.793663
9703.125000	-85.730347
9750.000000	-85.622635
9796.875000	-85.892883
9843.750000	-85.889336
9890.625000	-86.052834
9937.500000	-85.760780
9984.375000	-85.945946
10031.250000	-86.118332
10078.125000	-86.389847
10125.000000	-86.253235
10171.875000	-86.150986
10218.750000	-86.303108
10265.625000	-86.319176
10312.500000	-86.906174
10359.375000	-87.474358
10406.250000	-87.505890
10453.125000	-87.724304
10500.000000	-87.382812
10546.875000	-87.205750
10593.750000	-87.791145
10640.625000	-87.900269
10687.500000	-88.458893
10734.375000	-88.488213
10781.250000	-88.637154
10828.125000	-88.851357
10875.000000	-88.747826
10921.875000	-88.727333
10968.750000	-88.865082
11015.625000	-89.529747
11062.500000	-89.517227
11109.375000	-88.995262
11156.250000	-89.096329
11203.125000	-89.539482
11250.000000	-89.866547
11296.875000	-90.339096
11343.750000	-90.298050
11390.625000	-90.457985
11437.500000	-90.518234
11484.375000	-90.829422
11531.250000	-91.235100
11578.125000	-91.138229
11625.000000	-91.541496
11671.875000	-91.684326
11718.750000	-91.837791
11765.625000	-91.641899
11812.500000	-91.937263
11859.375000	-92.352989
11906.250000	-93.219627
11953.125000	-93.044891
12000.000000	-92.145241
12046.875000	-92.410057
12093.750000	-93.117729
12140.625000	-93.287682
12187.500000	-93.402710
12234.375000	-93.341660
12281.250000	-93.370041
12328.125000	-93.749565
12375.000000	-94.089882
12421.875000	-94.033295
12468.750000	-94.143906
12515.625000	-94.361130
12562.500000	-94.964165
12609.375000	-94.744667
12656.250000	-94.799438
12703.125000	-95.090469
12750.000000	-95.543938
12796.875000	-96.179581
