Frequency (Hz)	Level (dB)
46.875000	-44.360542
93.750000	-52.180664
140.625000	-57.814102
187.500000	-60.403805
234.375000	-61.150246
281.250000	-61.641205
328.125000	-62.282856
375.000000	-63.416504
421.875000	-63.379658
468.750000	-63.644100
515.625000	-64.293221
562.500000	-64.268921
609.375000	-64.803581
656.250000	-65.473389
703.125000	-65.735954
750.000000	-65.901405
796.875000	-65.958588
843.750000	-66.266830
890.625000	-66.720100
937.500000	-66.664566
984.375000	-67.346710
1031.250000	-67.386223
1078.125000	-67.674644
1125.000000	-68.196754
1171.875000	-68.773827
1218.750000	-69.065056
1265.625000	-69.261543
1312.500000	-69.293640
1359.375000	-69.711021
1406.250000	-69.951500
1453.125000	-69.711266
1500.000000	-69.932678
1546.875000	-70.240540
1593.750000	-70.594627
1640.625000	-70.725815
1687.500000	-70.793648
1734.375000	-71.213814
1781.250000	-71.360413
1828.125000	-71.119804
1875.000000	-71.161636
1921.875000	-71.436996
1968.750000	-71.348740
2015.625000	-71.362747
2062.500000	-71.969765
2109.375000	-72.310974
2156.250000	-71.889656
2203.125000	-71.554855
2250.000000	-71.960915
2296.875000	-72.315781
2343.750000	-72.024139
2390.625000	-71.811584
2437.500000	-72.045906
2484.375000	-72.635445
2531.250000	-72.406944
2578.125000	-72.076126
2625.000000	-72.329597
2671.875000	-72.513435
2718.750000	-72.515442
2765.625000	-72.310776
2812.500000	-72.368660
2859.375000	-72.612373
2906.250000	-73.255981
2953.125000	-73.293938
3000.000000	-73.310898
3046.875000	-73.309364
3093.750000	-72.981712
3140.625000	-73.160332
3187.500000	-73.322731
3234.375000	-73.806427
3281.250000	-73.869095
3328.125000	-74.125496
3375.000000	-74.150085
3421.875000	-74.058357
3468.750000	-73.937576
3515.625000	-73.771095
3562.500000	-73.911308
3609.375000	-74.181450
3656.250000	-73.829933
3703.125000	-73.619629
3750.000000	-73.561066
3796.875000	-73.974396
3843.750000	-74.063110
3890.625000	-73.942986
3937.500000	-74.173721
3984.375000	-74.438286
4031.250000	-74.780083
4078.125000	-74.470459
4125.000000	-74.445358
4171.875000	-74.513229
4218.750000	-74.519913
4265.625000	-74.712723
4312.500000	-75.006950
4359.375000	-74.792511
4406.250000	-74.820259
4453.125000	-75.016579
4500.000000	-75.141594
4546.875000	-75.175941
4593.750000	-75.265923
