Frequency (Hz)	Level (dB)
46.875000	-24.018663
93.750000	-28.057226
140.625000	-34.333618
187.500000	-40.539886
234.375000	-43.693840
281.250000	-46.310524
328.125000	-49.665104
375.000000	-50.782665
421.875000	-51.935471
468.750000	-55.376312
515.625000	-57.229767
562.500000	-57.096413
609.375000	-58.100048
656.250000	-59.691536
703.125000	-60.976334
750.000000	-62.929802
796.875000	-62.815487
843.750000	-63.334595
890.625000	-64.161827
937.500000	-64.488869
984.375000	-64.669373
1031.250000	-65.016182
1078.125000	-65.307243
1125.000000	-65.301025
1171.875000	-65.071495
1218.750000	-65.249092
1265.625000	-65.759277
1312.500000	-65.852142
1359.375000	-66.027336
1406.250000	-66.404160
1453.125000	-66.695076
1500.000000	-67.033287
1546.875000	-66.922295
1593.750000	-67.048737
1640.625000	-66.981331
1687.500000	-66.549469
1734.375000	-66.680420
1781.250000	-66.988693
1828.125000	-67.202652
1875.000000	-67.836533
1921.875000	-68.050644
1968.750000	-67.803574
2015.625000	-67.969635
2062.500000	-67.759735
2109.375000	-67.518669
2156.250000	-67.802086
2203.125000	-67.945740
2250.000000	-67.806396
2296.875000	-67.999947
2343.750000	-67.560448
2390.625000	-67.355888
2437.500000	-67.802269
2484.375000	-67.996620
2531.250000	-67.114655
2578.125000	-67.202362
2625.000000	-67.072105
2671.875000	-67.039223
2718.750000	-66.943298
2765.625000	-67.066536
2812.500000	-67.516205
2859.375000	-67.298294
2906.250000	-67.265480
2953.125000	-66.990662
3000.000000	-67.456703
3046.875000	-67.180862
3093.750000	-67.257912
3140.625000	-67.687103
3187.500000	-67.781982
3234.375000	-67.385872
3281.250000	-67.309418
3328.125000	-67.339470
3375.000000	-67.293045
3421.875000	-67.529083
3468.750000	-67.506516
3515.625000	-67.537827
3562.500000	-67.218422
3609.375000	-67.605972
3656.250000	-68.198708
3703.125000	-67.804482
3750.000000	-67.816818
3796.875000	-67.953415
3843.750000	-67.965714
3890.625000	-67.336288
3937.500000	-67.586311
3984.375000	-67.624702
4031.250000	-67.777817
4078.125000	-67.542854
4125.000000	-67.261894
4171.875000	-67.631325
4218.750000	-68.418053
4265.625000	-68.538589
4312.500000	-68.733261
4359.375000	-68.349350
4406.250000	-68.085869
4453.125000	-67.626640
4500.000000	-68.160622
4546.875000	-68.093559
4593.750000	-68.044777
4640.625000	-68.790703
4687.500000	-68.811119
4734.375000	-68.387207
4781.250000	-68.221352
4828.125000	-68.280510
4875.000000	-68.443825
4921.875000	-68.692978
4968.750000	-69.239365
5015.625000	-68.838242
5062.500000	-68.483849
5109.375000	-68.152985
5156.250000	-68.915199
5203.125000	-69.540077
5250.000000	-69.069717
5296.875000	-68.510857
5343.750000	-68.924629
5390.625000	-69.412941
5437.500000	-69.334267
5484.375000	-69.552589
5531.250000	-69.543221
5578.125000	-69.641838
5625.000000	-69.791489
5671.875000	-69.922249
5718.750000	-69.675789
5765.625000	-69.140762
5812.500000	-69.596001
5859.375000	-70.243317
5906.250000	-70.170891
5953.125000	-70.380241
6000.000000	-70.361298
6046.875000	-70.286972
6093.750000	-70.326859
6140.625000	-70.485519
6187.500000	-70.461212
6234.375000	-70.779854
6281.250000	-70.962456
6328.125000	-70.934189
6375.000000	-70.935188
6421.875000	-71.473381
6468.750000	-71.350006
6515.625000	-71.081581
6562.500000	-71.258324
6609.375000	-71.462013
6656.250000	-71.330582
6703.125000	-71.459511
6750.000000	-71.503105
6796.875000	-71.684135
6843.750000	-71.906174
6890.625000	-72.047447
6937.500000	-72.173401
6984.375000	-72.602951
7031.250000	-72.609322
7078.125000	-72.340454
7125.000000	-72.321548
7171.875000	-72.703445
7218.750000	-72.671700
7265.625000	-72.771057
7312.500000	-73.056732
7359.375000	-73.041901
7406.250000	-73.223381
7453.125000	-73.161530
7500.000000	-72.736557
7546.875000	-73.092712
7593.750000	-73.501389
7640.625000	-73.517349
7687.500000	-73.546608
7734.375000	-73.706749
7781.250000	-74.003014
7828.125000	-74.031898
