Frequency (Hz)	Level (dB)
46.875000	-25.891047
93.750000	-30.398554
140.625000	-36.790707
187.500000	-41.523979
234.375000	-44.717617
281.250000	-46.683308
328.125000	-48.287487
375.000000	-51.217247
421.875000	-53.725296
468.750000	-55.129688
515.625000	-55.718998
562.500000	-56.635174
609.375000	-58.173229
656.250000	-59.283485
703.125000	-60.398552
750.000000	-61.063343
796.875000	-61.759991
843.750000	-61.847759
890.625000	-62.379261
937.500000	-62.767387
984.375000	-62.874210
1031.250000	-62.619904
1078.125000	-63.087170
1125.000000	-63.366299
1171.875000	-63.726353
1218.750000	-64.004547
1265.625000	-64.371086
1312.500000	-65.077988
1359.375000	-65.157021
1406.250000	-65.239983
1453.125000	-65.743889
1500.000000	-65.603645
1546.875000	-65.340294
1593.750000	-65.467972
1640.625000	-66.171822
1687.500000	-65.906982
1734.375000	-65.693596
1781.250000	-66.095192
1828.125000	-66.541428
1875.000000	-66.985725
1921.875000	-67.243423
1968.750000	-66.941597
2015.625000	-66.641434
2062.500000	-66.686165
2109.375000	-67.223953
2156.250000	-67.345581
2203.125000	-67.189827
2250.000000	-67.188591
2296.875000	-67.229752
2343.750000	-67.395653
2390.625000	-67.274574
2437.500000	-67.289230
2484.375000	-67.172729
2531.250000	-67.404465
2578.125000	-67.388542
2625.000000	-67.624290
2671.875000	-67.911217
2718.750000	-67.759956
2765.625000	-67.520569
2812.500000	-67.552429
2859.375000	-67.610359
2906.250000	-68.094635
2953.125000	-68.007118
3000.000000	-67.878548
3046.875000	-67.795395
3093.750000	-68.312180
3140.625000	-68.591408
3187.500000	-68.667671
3234.375000	-69.036758
3281.250000	-69.023216
3328.125000	-68.880394
3375.000000	-68.765656
3421.875000	-68.675812
3468.750000	-69.085335
3515.625000	-68.901627
3562.500000	-69.414848
3609.375000	-69.643181
3656.250000	-69.133095
3703.125000	-69.555077
3750.000000	-69.291222
3796.875000	-69.149422
3843.750000	-69.279503
3890.625000	-69.436569
3937.500000	-69.544495
3984.375000	-69.590202
4031.250000	-69.964775
4078.125000	-70.118584
4125.000000	-70.107765
4171.875000	-70.079758
4218.750000	-69.698219
4265.625000	-70.362495
4312.500000	-70.448975
4359.375000	-70.591225
4406.250000	-70.699379
4453.125000	-70.521652
4500.000000	-70.418777
4546.875000	-70.110229
4593.750000	-70.771492
4640.625000	-70.482994
4687.500000	-70.601692
4734.375000	-70.549156
4781.250000	-70.486549
4828.125000	-71.106422
4875.000000	-71.285362
4921.875000	-71.229195
4968.750000	-71.347687
5015.625000	-70.905602
5062.500000	-70.996971
5109.375000	-71.523109
5156.250000	-72.008347
5203.125000	-72.115623
5250.000000	-71.977219
5296.875000	-71.826881
5343.750000	-71.712311
5390.625000	-72.090630
5437.500000	-72.301910
5484.375000	-72.773361
5531.250000	-72.799866
5578.125000	-72.482452
5625.000000	-72.753036
5671.875000	-73.052155
5718.750000	-73.113228
5765.625000	-73.227112
5812.500000	-72.960022
5859.375000	-73.134117
5906.250000	-73.445610
5953.125000	-73.732147
6000.000000	-73.757820
6046.875000	-73.832703
6093.750000	-74.234627
6140.625000	-74.434685
6187.500000	-74.553253
6234.375000	-74.883423
6281.250000	-74.610329
6328.125000	-74.541725
6375.000000	-74.432182
6421.875000	-74.660294
6468.750000	-75.137932
6515.625000	-75.521576
6562.500000	-75.414230
6609.375000	-75.190781
6656.250000	-75.455841
6703.125000	-75.899139
6750.000000	-76.250175
6796.875000	-76.011238
6843.750000	-75.882607
6890.625000	-76.275917
6937.500000	-76.631981
6984.375000	-76.722847
7031.250000	-76.648811
7078.125000	-76.616913
7125.000000	-76.746941
7171.875000	-77.388412
7218.750000	-77.064758
7265.625000	-76.843735
7312.500000	-77.088310
7359.375000	-77.502190
7406.250000	-77.400223
7453.125000	-77.418976
7500.000000	-77.806854
7546.875000	-77.848053
7593.750000	-78.439209
7640.625000	-78.339165
7687.500000	-78.405800
7734.375000	-78.229042
7781.250000	-77.813019
7828.125000	-78.153358
7875.000000	-78.544090
7921.875000	-78.695786
7968.750000	-78.508492
8015.625000	-78.714966
8062.500000	-78.515335
8109.375000	-78.855423
8156.250000	-78.951820
8203.125000	-79.030228
8250.000000	-78.643364
8296.875000	-78.924133
8343.750000	-79.001740
8390.625000	-78.836617
8437.500000	-79.317818
8484.375000	-79.410484
8531.250000	-79.344826
8578.125000	-79.455093
8625.000000	-79.423561
8671.875000	-79.360962
8718.750000	-79.422462
8765.625000	-79.788071
8812.500000	-79.864456
8859.375000	-79.498955
8906.250000	-79.498039
8953.125000	-79.254402
9000.000000	-79.207199
9046.875000	-79.751030
9093.750000	-79.940117
9140.625000	-80.143898
9187.500000	-80.092819
9234.375000	-79.872147
9281.250000	-79.749466
9328.125000	-79.744995
9375.000000	-80.455437
9421.875000	-80.521675
9468.750000	-80.820938
9515.625000	-80.611244
9562.500000	-80.349213
9609.375000	-80.482788
9656.250000	-80.681129
9703.125000	-80.843773
9750.000000	-80.812668
9796.875000	-80.739388
9843.750000	-80.914688
9890.625000	-80.885925
9937.500000	-81.081627
9984.375000	-80.929214
10031.250000	-81.318275
10078.125000	-81.187469
10125.000000	-81.238899
10171.875000	-81.581207
10218.750000	-81.877884
10265.625000	-81.690437
10312.500000	-81.538712
10359.375000	-81.789169
10406.250000	-81.921783
10453.125000	-82.097321
10500.000000	-82.081596
10546.875000	-82.113380
10593.750000	-82.463844
10640.625000	-82.654160
10687.500000	-83.028511
10734.375000	-83.004883
10781.250000	-83.284538
10828.125000	-83.496307
10875.000000	-83.474739
10921.875000	-83.806633
10968.750000	-83.418411
11015.625000	-83.717056
11062.500000	-84.198059
11109.375000	-84.305740
11156.250000	-84.077560
11203.125000	-83.979156
11250.000000	-84.105049
11296.875000	-84.772598
11343.750000	-84.737389
11390.625000	-84.459206
11437.500000	-84.666107
11484.375000	-84.827599
11531.250000	-85.110237
11578.125000	-85.614586
11625.000000	-85.961700
11671.875000	-85.984734
11718.750000	-86.309410
11765.625000	-86.409370
11812.500000	-86.396355
11859.375000	-86.853783
11906.250000	-86.908325
11953.125000	-87.075302
12000.000000	-86.837341
12046.875000	-86.892029
12093.750000	-87.143066
12140.625000	-87.051498
12187.500000	-87.385475
12234.375000	-87.747246
12281.250000	-87.959412
12328.125000	-87.943588
12375.000000	-88.139084
12421.875000	-88.332832
12468.750000	-88.268631
12515.625000	-88.465622
12562.500000	-88.531883
12609.375000	-88.677711
12656.250000	-88.860306
12703.125000	-89.512405
12750.000000	-89.080582
12796.875000	-88.898163
12843.750000	-89.582329
12890.625000	-89.769051
12937.500000	-90.011482
12984.375000	-90.183067
13031.250000	-90.821251
13078.125000	-90.686249
13125.000000	-90.667534
13171.875000	-90.964012
13218.750000	-90.933838
13265.625000	-91.160828
13312.500000	-91.400757
13359.375000	-91.258080
13406.250000	-91.660881
13453.125000	-91.637672
13500.000000	-91.414330
13546.875000	-91.726448
13593.750000	-91.841278
13640.625000	-91.813812
13687.500000	-91.975204
13734.375000	-92.534698
13781.250000	-92.543556
