Frequency (Hz)	Level (dB)
46.875000	-28.511173
93.750000	-35.852051
140.625000	-45.068836
187.500000	-51.495110
234.375000	-55.406052
281.250000	-58.485165
328.125000	-61.378113
375.000000	-63.290897
421.875000	-64.164284
468.750000	-65.055031
515.625000	-64.762894
562.500000	-65.183403
609.375000	-65.551315
656.250000	-66.195801
703.125000	-66.348442
750.000000	-66.381172
796.875000	-66.661407
843.750000	-66.994728
890.625000	-67.127815
937.500000	-67.207314
984.375000	-66.724968
1031.250000	-66.983467
1078.125000	-67.814621
1125.000000	-67.769928
1171.875000	-68.068726
1218.750000	-68.052925
1265.625000	-68.516403
1312.500000	-68.344223
1359.375000	-68.323006
1406.250000	-68.407928
1453.125000	-68.461853
1500.000000	-68.693245
1546.875000	-68.553711
1593.750000	-68.653809
1640.625000	-69.227242
1687.500000	-69.713852
1734.375000	-70.032959
1781.250000	-70.000069
1828.125000	-70.212708
1875.000000	-70.634964
1921.875000	-71.026505
1968.750000	-70.309143
2015.625000	-70.111649
2062.500000	-70.692879
2109.375000	-70.891510
2156.250000	-70.628082
2203.125000	-70.667473
2250.000000	-70.748718
2296.875000	-70.381310
2343.750000	-70.527550
2390.625000	-70.894852
2437.500000	-70.998672
2484.375000	-71.374741
2531.250000	-71.417969
2578.125000	-71.103828
2625.000000	-71.347351
2671.875000	-71.002800
2718.750000	-70.898994
2765.625000	-71.022522
2812.500000	-71.251633
2859.375000	-71.478279
2906.250000	-71.346359
2953.125000	-71.710014
3000.000000	-71.479477
3046.875000	-71.340057
3093.750000	-71.211105
3140.625000	-71.333801
3187.500000	-71.850304
3234.375000	-71.796150
3281.250000	-71.865547
3328.125000	-72.184113
3375.000000	-72.696365
3421.875000	-72.451424
3468.750000	-72.611038
3515.625000	-72.493141
3562.500000	-72.697556
3609.375000	-73.048157
3656.250000	-72.881462
3703.125000	-72.984657
3750.000000	-72.941071
3796.875000	-72.837090
3843.750000	-72.843834
3890.625000	-72.983223
3937.500000	-73.129776
3984.375000	-72.757423
4031.250000	-72.398216
4078.125000	-72.637421
4125.000000	-72.778801
4171.875000	-72.899887
4218.750000	-72.748802
4265.625000	-72.766258
4312.500000	-72.930275
4359.375000	-73.511177
4406.250000	-73.544807
4453.125000	-73.941940
4500.000000	-73.777840
4546.875000	-73.759964
4593.750000	-74.261887
4640.625000	-74.261368
4687.500000	-74.052162
4734.375000	-73.958023
4781.250000	-73.959724
4828.125000	-74.139153
4875.000000	-74.078491
4921.875000	-73.819527
4968.750000	-74.017090
5015.625000	-74.418221
5062.500000	-74.279510
5109.375000	-74.321938
5156.250000	-74.185516
5203.125000	-73.572861
5250.000000	-74.207458
5296.875000	-74.859322
5343.750000	-74.779228
5390.625000	-74.340775
5437.500000	-74.441246
5484.375000	-74.358727
5531.250000	-74.193642
5578.125000	-74.765732
5625.000000	-75.175964
5671.875000	-75.092361
5718.750000	-74.882454
5765.625000	-74.738754
5812.500000	-75.053307
5859.375000	-75.693176
5906.250000	-76.196365
5953.125000	-76.019951
6000.000000	-76.017860
6046.875000	-75.393738
6093.750000	-75.630692
6140.625000	-76.109245
6187.500000	-76.511574
