Frequency (Hz)	Level (dB)
46.875000	-42.745293
93.750000	-49.566349
140.625000	-56.873928
187.500000	-60.909744
234.375000	-63.367939
281.250000	-63.697056
328.125000	-64.082382
375.000000	-65.268974
421.875000	-65.433937
468.750000	-65.715996
515.625000	-65.792900
562.500000	-66.066628
609.375000	-66.919197
656.250000	-67.536148
703.125000	-67.961121
750.000000	-67.705177
796.875000	-67.814751
843.750000	-68.506531
890.625000	-68.896629
937.500000	-69.145332
984.375000	-69.255768
1031.250000	-69.763725
1078.125000	-70.714157
1125.000000	-71.213837
1171.875000	-71.765297
1218.750000	-72.537605
1265.625000	-72.787155
1312.500000	-73.068695
1359.375000	-73.183571
1406.250000	-73.214851
1453.125000	-73.818237
1500.000000	-74.074821
1546.875000	-74.111305
1593.750000	-74.553314
1640.625000	-75.035301
1687.500000	-75.386002
1734.375000	-75.802399
1781.250000	-76.126274
1828.125000	-75.647224
1875.000000	-76.081161
1921.875000	-76.824516
1968.750000	-77.192581
2015.625000	-77.471985
2062.500000	-77.359642
2109.375000	-77.385956
2156.250000	-77.453659
2203.125000	-78.122688
2250.000000	-78.008102
2296.875000	-77.707863
2343.750000	-77.741646
2390.625000	-77.930489
2437.500000	-78.372055
2484.375000	-78.501091
2531.250000	-78.174141
2578.125000	-78.008987
2625.000000	-78.285393
2671.875000	-78.357559
2718.750000	-78.289780
2765.625000	-78.324692
2812.500000	-79.002228
2859.375000	-78.983772
2906.250000	-78.699089
2953.125000	-78.608681
3000.000000	-78.849602
3046.875000	-79.459824
3093.750000	-79.620323
3140.625000	-79.268646
3187.500000	-79.258301
3234.375000	-79.360153
3281.250000	-79.368004
3328.125000	-79.248291
3375.000000	-79.674904
3421.875000	-79.713753
3468.750000	-79.558479
3515.625000	-79.312622
3562.500000	-78.943443
3609.375000	-78.726036
3656.250000	-78.751518
3703.125000	-79.514709
3750.000000	-80.118004
3796.875000	-80.099266
3843.750000	-80.302940
3890.625000	-80.370903
3937.500000	-80.044998
3984.375000	-79.890907
4031.250000	-80.038719
4078.125000	-79.854080
4125.000000	-80.169189
4171.875000	-80.414085
4218.750000	-80.655075
4265.625000	-80.699738
4312.500000	-80.457390
4359.375000	-80.246109
4406.250000	-80.539474
4453.125000	-80.616753
4500.000000	-80.835510
4546.875000	-81.191986
4593.750000	-81.811577
4640.625000	-81.536972
4687.500000	-81.029373
4734.375000	-80.911179
4781.250000	-81.284966
4828.125000	-81.055435
4875.000000	-81.161224
4921.875000	-81.897713
4968.750000	-81.647301
5015.625000	-81.549728
5062.500000	-81.716766
5109.375000	-81.787956
5156.250000	-81.837967
5203.125000	-81.725571
5250.000000	-81.681641
5296.875000	-82.207382
5343.750000	-81.870018
5390.625000	-82.349426
5437.500000	-82.676903
5484.375000	-82.769684
5531.250000	-82.513786
5578.125000	-82.493011
5625.000000	-83.149826
5671.875000	-83.317986
5718.750000	-83.300491
5765.625000	-82.789452
5812.500000	-82.661324
5859.375000	-83.022179
5906.250000	-83.643906
5953.125000	-83.771919
6000.000000	-83.966774
6046.875000	-84.663750
6093.750000	-83.750710
6140.625000	-83.783951
6187.500000	-83.449951
6234.375000	-82.608040
6281.250000	-83.273842
6328.125000	-83.158020
6375.000000	-83.155449
6421.875000	-84.156075
6468.750000	-84.181244
6515.625000	-84.874016
6562.500000	-84.820656
6609.375000	-84.768578
6656.250000	-83.289612
6703.125000	-83.129868
6750.000000	-84.184807
6796.875000	-84.464462
6843.750000	-84.901131
6890.625000	-84.380310
6937.500000	-84.806671
6984.375000	-85.398842
7031.250000	-86.521378
7078.125000	-86.518944
7125.000000	-86.353783
7171.875000	-86.286224
7218.750000	-86.512642
7265.625000	-86.403755
7312.500000	-86.700409
7359.375000	-86.643700
7406.250000	-86.758553
7453.125000	-86.377785
7500.000000	-86.605087
7546.875000	-86.836960
7593.750000	-87.614174
7640.625000	-87.026016
7687.500000	-87.221672
7734.375000	-87.793510
7781.250000	-87.801025
7828.125000	-87.461319
7875.000000	-87.689377
7921.875000	-87.617088
7968.750000	-87.257408
8015.625000	-87.581566
8062.500000	-87.317657
8109.375000	-87.026924
8156.250000	-87.312820
8203.125000	-88.282051
8250.000000	-88.426270
8296.875000	-88.452194
8343.750000	-88.570351
8390.625000	-88.568275
8437.500000	-87.911453
8484.375000	-88.428131
8531.250000	-88.949463
8578.125000	-88.501205
8625.000000	-88.287949
8671.875000	-88.724838
8718.750000	-88.795654
8765.625000	-88.657219
8812.500000	-89.172905
8859.375000	-89.025131
8906.250000	-88.540222
8953.125000	-88.438202
9000.000000	-88.684525
9046.875000	-88.676407
9093.750000	-89.390617
9140.625000	-89.914688
9187.500000	-89.209648
9234.375000	-88.015388
9281.250000	-88.344444
9328.125000	-89.254028
9375.000000	-89.493202
9421.875000	-89.525787
9468.750000	-89.376976
9515.625000	-89.413765
9562.500000	-89.414520
9609.375000	-89.162041
9656.250000	-88.714867
9703.125000	-88.496117
9750.000000	-88.948082
9796.875000	-89.426758
9843.750000	-89.869156
9890.625000	-89.477615
9937.500000	-89.398979
9984.375000	-89.947937
10031.250000	-90.623924
10078.125000	-90.493256
10125.000000	-89.889442
