Frequency (Hz)	Level (dB)
46.875000	-46.015724
93.750000	-53.442497
140.625000	-59.877171
187.500000	-62.801735
234.375000	-63.160076
281.250000	-63.698875
328.125000	-64.336174
375.000000	-65.367355
421.875000	-66.019814
468.750000	-66.634491
515.625000	-66.684486
562.500000	-67.264542
609.375000	-67.685715
656.250000	-67.993980
703.125000	-68.171883
750.000000	-68.023125
796.875000	-68.323303
843.750000	-68.526863
890.625000	-68.489799
937.500000	-68.696312
984.375000	-69.520241
1031.250000	-69.960381
1078.125000	-70.198563
1125.000000	-70.619972
1171.875000	-71.079277
1218.750000	-71.288017
1265.625000	-71.094963
1312.500000	-71.095924
1359.375000	-71.741592
1406.250000	-72.468979
1453.125000	-72.618118
1500.000000	-72.711143
1546.875000	-72.976639
1593.750000	-73.521782
1640.625000	-73.514206
1687.500000	-73.272018
1734.375000	-73.922882
1781.250000	-74.537193
1828.125000	-74.389221
1875.000000	-74.862984
1921.875000	-75.179848
1968.750000	-75.435478
2015.625000	-75.591362
2062.500000	-75.782692
2109.375000	-75.713142
2156.250000	-75.615173
2203.125000	-75.938301
2250.000000	-76.308182
2296.875000	-76.652122
2343.750000	-77.024734
2390.625000	-76.739586
2437.500000	-76.545929
2484.375000	-76.562889
2531.250000	-76.708344
2578.125000	-76.870552
2625.000000	-76.882881
2671.875000	-77.118935
2718.750000	-77.243446
2765.625000	-77.421104
2812.500000	-77.496727
2859.375000	-77.344177
2906.250000	-77.296631
2953.125000	-77.349945
3000.000000	-77.150391
3046.875000	-77.382805
3093.750000	-77.218094
3140.625000	-77.685593
3187.500000	-77.746368
3234.375000	-77.900932
3281.250000	-77.790329
3328.125000	-77.718033
3375.000000	-77.673248
3421.875000	-77.901382
3468.750000	-78.084839
3515.625000	-77.839996
3562.500000	-78.469215
3609.375000	-78.891830
3656.250000	-78.703362
3703.125000	-78.605469
3750.000000	-78.360664
3796.875000	-78.413773
3843.750000	-78.555443
3890.625000	-78.987755
3937.500000	-79.013344
3984.375000	-79.432716
4031.250000	-79.504097
4078.125000	-79.462608
4125.000000	-79.177277
4171.875000	-79.091560
4218.750000	-79.312042
4265.625000	-79.342003
4312.500000	-79.713318
4359.375000	-80.031990
4406.250000	-80.043648
4453.125000	-80.132874
4500.000000	-80.110641
4546.875000	-80.405762
4593.750000	-80.087349
4640.625000	-80.107857
4687.500000	-80.668785
4734.375000	-80.888428
4781.250000	-80.997696
4828.125000	-80.787842
4875.000000	-80.867149
4921.875000	-81.195213
4968.750000	-80.878883
5015.625000	-80.886169
5062.500000	-81.111877
5109.375000	-81.304710
5156.250000	-81.632309
5203.125000	-81.915443
5250.000000	-82.090675
5296.875000	-82.173912
5343.750000	-81.896523
5390.625000	-82.068176
5437.500000	-81.946381
5484.375000	-82.004723
5531.250000	-82.738609
5578.125000	-83.035828
5625.000000	-82.932373
5671.875000	-82.637520
5718.750000	-82.845718
5765.625000	-83.337860
5812.500000	-83.618645
5859.375000	-83.223991
5906.250000	-83.402748
5953.125000	-83.760628
6000.000000	-83.906914
6046.875000	-83.768616
6093.750000	-83.687469
6140.625000	-83.921150
6187.500000	-83.972412
6234.375000	-84.362206
6281.250000	-84.507561
6328.125000	-84.325562
6375.000000	-84.599884
6421.875000	-85.128372
6468.750000	-85.058693
6515.625000	-85.421242
6562.500000	-85.772850
6609.375000	-85.373169
6656.250000	-85.334969
6703.125000	-85.777885
6750.000000	-86.049965
6796.875000	-86.225044
6843.750000	-86.014313
6890.625000	-86.080406
6937.500000	-85.963013
6984.375000	-86.284294
7031.250000	-86.183746
7078.125000	-86.578720
7125.000000	-87.127007
7171.875000	-87.525902
7218.750000	-87.969086
7265.625000	-87.368790
7312.500000	-87.618561
7359.375000	-87.737968
7406.250000	-87.856277
7453.125000	-88.262672
7500.000000	-88.157013
7546.875000	-88.088974
7593.750000	-88.299263
7640.625000	-88.539444
7687.500000	-89.007797
7734.375000	-88.945152
7781.250000	-88.863014
7828.125000	-88.328094
7875.000000	-88.537010
7921.875000	-88.925018
7968.750000	-89.612946
8015.625000	-89.929214
8062.500000	-89.617371
8109.375000	-89.711060
8156.250000	-89.626282
8203.125000	-90.085838
8250.000000	-90.333908
8296.875000	-89.986908
8343.750000	-90.020348
8390.625000	-90.400940
8437.500000	-90.475769
8484.375000	-90.687111
8531.250000	-90.737137
8578.125000	-90.674522
8625.000000	-90.639252
8671.875000	-90.835976
8718.750000	-91.031235
8765.625000	-90.724266
8812.500000	-90.842003
8859.375000	-91.326218
8906.250000	-91.341148
8953.125000	-91.122261
9000.000000	-91.568352
9046.875000	-91.770973
9093.750000	-91.983292
9140.625000	-91.750008
9187.500000	-91.682419
9234.375000	-92.044334
9281.250000	-91.739410
9328.125000	-91.913414
9375.000000	-92.353783
9421.875000	-92.321198
9468.750000	-91.986183
9515.625000	-92.526901
9562.500000	-93.042747
9609.375000	-93.106987
9656.250000	-92.912254
9703.125000	-92.717842
9750.000000	-92.889359
9796.875000	-92.839317
9843.750000	-93.367943
9890.625000	-93.468887
9937.500000	-93.745438
9984.375000	-93.943924
10031.250000	-94.002922
10078.125000	-94.539856
10125.000000	-95.203606
10171.875000	-95.080444
10218.750000	-95.182434
10265.625000	-95.553474
10312.500000	-95.903030
10359.375000	-95.748482
10406.250000	-96.041534
10453.125000	-96.056747
10500.000000	-96.193367
10546.875000	-96.302498
10593.750000	-96.652924
10640.625000	-96.944832
10687.500000	-97.373619
10734.375000	-96.975739
10781.250000	-96.971062
10828.125000	-97.304184
10875.000000	-97.470001
10921.875000	-97.469666
10968.750000	-97.144753
11015.625000	-97.347206
11062.500000	-97.784904
11109.375000	-98.105011
11156.250000	-97.979736
11203.125000	-98.083778
11250.000000	-98.306740
11296.875000	-98.652443
11343.750000	-99.013870
11390.625000	-98.834091
11437.500000	-99.297951
11484.375000	-99.416252
11531.250000	-99.354492
11578.125000	-99.430473
11625.000000	-99.465881
11671.875000	-99.874809
11718.750000	-100.077827
11765.625000	-99.923965
11812.500000	-100.015877
11859.375000	-99.969780
11906.250000	-100.348862
11953.125000	-100.549377
12000.000000	-100.909264
12046.875000	-101.418800
12093.750000	-101.555817
12140.625000	-101.505287
12187.500000	-101.344635
12234.375000	-101.673065
12281.250000	-102.252602
12328.125000	-102.674438
12375.000000	-102.601883
12421.875000	-102.514854
12468.750000	-102.593994
12515.625000	-102.361290
12562.500000	-102.607773
12609.375000	-102.770554
12656.250000	-102.950081
12703.125000	-103.060974
12750.000000	-103.304741
12796.875000	-103.425041
12843.750000	-103.568649
12890.625000	-103.390350
12937.500000	-103.389008
12984.375000	-104.059723
13031.250000	-104.144341
13078.125000	-104.056824
13125.000000	-104.527809
13171.875000	-104.656197
13218.750000	-104.649071
13265.625000	-104.952759
13312.500000	-105.110985
13359.375000	-105.498352
13406.250000	-105.773094
13453.125000	-105.886803
13500.000000	-106.327438
13546.875000	-106.361969
13593.750000	-106.236870
13640.625000	-106.378662
13687.500000	-106.695610
13734.375000	-106.313187
13781.250000	-106.891510
13828.125000	-107.336693
13875.000000	-107.233124
13921.875000	-107.427986
13968.750000	-107.223526
14015.625000	-107.545563
14062.500000	-107.660683
14109.375000	-107.446465
14156.250000	-107.590736
14203.125000	-107.877632
14250.000000	-108.162941
14296.875000	-108.341042
14343.750000	-108.369644
14390.625000	-108.390404
14437.500000	-108.663521
14484.375000	-108.566185
14531.250000	-108.803955
14578.125000	-108.540382
14625.000000	-108.693954
14671.875000	-108.936813
14718.750000	-109.071487
14765.625000	-109.557823
14812.500000	-109.680069
14859.375000	-109.536369
14906.250000	-109.731506
14953.125000	-109.779427
15000.000000	-109.415184
15046.875000	-109.784294
15093.750000	-109.951096
15140.625000	-110.015373
15187.500000	-110.356026
15234.375000	-110.653419
15281.250000	-110.579140
15328.125000	-110.551285
15375.000000	-111.161720
15421.875000	-111.473732
15468.750000	-111.089577
15515.625000	-111.181084
15562.500000	-111.131287
15609.375000	-111.725082
15656.250000	-111.792442
15703.125000	-111.400627
15750.000000	-111.622986
15796.875000	-111.855713
15843.750000	-111.926857
15890.625000	-112.346367
15937.500000	-112.689888
15984.375000	-113.473122
16031.250000	-114.358177
16078.125000	-114.708412
16125.000000	-114.503197
16171.875000	-116.030533
16218.750000	-116.604805
16265.625000	-116.330490
16312.500000	-116.660988
16359.375000	-115.970840
16406.250000	-116.415710
16453.125000	-116.520370
16500.000000	-116.125381
16546.875000	-116.626656
16593.750000	-118.579643
16640.625000	-118.110756
16687.500000	-117.327827
16734.375000	-118.136871
16781.250000	-119.321640
16828.125000	-119.693069
16875.000000	-120.439735
16921.875000	-119.089714
16968.750000	-117.969185
17015.625000	-118.785500
17062.500000	-119.884743
17109.375000	-119.895241
17156.250000	-118.836876
17203.125000	-119.467308
17250.000000	-120.803230
17296.875000	-121.014648
17343.750000	-121.164536
17390.625000	-122.028404
17437.500000	-122.167465
17484.375000	-122.065048
17531.250000	-122.837601
17578.125000	-123.302650
17625.000000	-121.303917
17671.875000	-120.837250
17718.750000	-122.053436
17765.625000	-123.931808
17812.500000	-124.536987
17859.375000	-122.356476
17906.250000	-121.759079
17953.125000	-122.852219
18000.000000	-122.558380
18046.875000	-123.632912
18093.750000	-124.502235
18140.625000	-126.031616
18187.500000	-124.769920
18234.375000	-123.134590
18281.250000	-122.833832
18328.125000	-127.058769
18375.000000	-129.773941
18421.875000	-130.926971
18468.750000	-131.297791
18515.625000	-129.389572
18562.500000	-129.133728
18609.375000	-128.488113
18656.250000	-128.244949
18703.125000	-128.187225
18750.000000	-127.606270
18796.875000	-127.468254
18843.750000	-127.090240
18890.625000	-126.644554
18937.500000	-127.171921
18984.375000	-128.539429
19031.250000	-128.281891
19078.125000	-130.293701
19125.000000	-130.838364
19171.875000	-129.351822
19218.750000	-129.239273
19265.625000	-130.058212
19312.500000	-130.698227
19359.375000	-130.217163
19406.250000	-133.444305
19453.125000	-136.402054
19500.000000	-134.568573
19546.875000	-137.210922
19593.750000	-136.967438
19640.625000	-139.580475
19687.500000	-147.076874
19734.375000	-149.604553
19781.250000	-149.880951
19828.125000	-150.326828
19875.000000	-150.003830
19921.875000	-149.528656
19968.750000	-149.409149
20015.625000	-149.897415
20062.500000	-149.593430
20109.375000	-149.151550
20156.250000	-148.906998
20203.125000	-149.185898
20250.000000	-149.327087
20296.875000	-149.494919
20343.750000	-149.719040
20390.625000	-149.400726
20437.500000	-149.492249
20484.375000	-149.121521
20531.250000	-148.902969
20578.125000	-149.331985
20625.000000	-149.202255
20671.875000	-148.894547
20718.750000	-148.693817
20765.625000	-148.972809
20812.500000	-148.964569
20859.375000	-149.019745
20906.250000	-148.865570
20953.125000	-148.215958
21000.000000	-147.884827
21046.875000	-148.391129
21093.750000	-148.968002
21140.625000	-148.618210
21187.500000	-148.354477
21234.375000	-148.425705
21281.250000	-148.654083
21328.125000	-148.522659
21375.000000	-148.400558
21421.875000	-148.681458
21468.750000	-148.747864
21515.625000	-148.554230
21562.500000	-148.503098
21609.375000	-148.414566
21656.250000	-148.195389
21703.125000	-148.232620
21750.000000	-147.907211
21796.875000	-147.971634
21843.750000	-147.866806
21890.625000	-147.932877
21937.500000	-147.707062
21984.375000	-147.756516
22031.250000	-147.826797
22078.125000	-148.146973
22125.000000	-147.976349
22171.875000	-147.905731
22218.750000	-148.062424
22265.625000	-147.932510
22312.500000	-148.269211
22359.375000	-147.960800
22406.250000	-147.726074
22453.125000	-147.189224
22500.000000	-146.832352
22546.875000	-147.285019
22593.750000	-147.574570
22640.625000	-147.495926
22687.500000	-147.600433
22734.375000	-147.942993
22781.250000	-147.865295
22828.125000	-147.631836
22875.000000	-147.417252
22921.875000	-147.416580
22968.750000	-147.481415
23015.625000	-147.695221
23062.500000	-147.605270
23109.375000	-147.277359
23156.250000	-147.557831
23203.125000	-147.669342
23250.000000	-147.274139
23296.875000	-147.333893
23343.750000	-147.465851
23390.625000	-147.659592
23437.500000	-147.418884
23484.375000	-147.137833
23531.250000	-147.002487
23578.125000	-147.554016
23625.000000	-147.432205
23671.875000	-147.501755
23718.750000	-147.575027
23765.625000	-147.505386
23812.500000	-147.309692
23859.375000	-147.350540
23906.250000	-147.251495
23953.125000	-146.818665
